
”≥œÒ√˚≥∆                       PID ª·ª∞√˚              ª·ª∞#       ƒ⁄¥Ê π”√  ◊¥Ã¨            ”√ªß√˚                                                 CPU  ±º‰ ¥∞ø⁄±ÍÃ‚                                                                
========================= ======== ================ =========== ============ =============== ================================================== ============ ========================================================================
System Idle Process              0 Services                   0          8 K Unknown         NT AUTHORITY\SYSTEM                                   106:44:26 ‘›»±                                                                    
System                           4 Services                   0         32 K Unknown         ‘›»±                                                    1:49:29 ‘›»±                                                                    
Registry                       108 Services                   0     62,468 K Unknown         ‘›»±                                                    0:00:10 ‘›»±                                                                    
smss.exe                       552 Services                   0        488 K Unknown         ‘›»±                                                    0:00:00 ‘›»±                                                                    
csrss.exe                      656 Services                   0      2,652 K Unknown         ‘›»±                                                    0:00:04 ‘›»±                                                                    
wininit.exe                    760 Services                   0      3,360 K Unknown         ‘›»±                                                    0:00:00 ‘›»±                                                                    
services.exe                   848 Services                   0      7,420 K Unknown         ‘›»±                                                    0:01:02 ‘›»±                                                                    
lsass.exe                      856 Services                   0     21,708 K Unknown         ‘›»±                                                    0:00:55 ‘›»±                                                                    
svchost.exe                    620 Services                   0     27,756 K Unknown         ‘›»±                                                    0:02:27 ‘›»±                                                                    
fontdrvhost.exe                612 Services                   0        340 K Unknown         ‘›»±                                                    0:00:00 ‘›»±                                                                    
svchost.exe                    544 Services                   0     15,580 K Unknown         ‘›»±                                                    0:03:03 ‘›»±                                                                    
svchost.exe                   1040 Services                   0      6,996 K Unknown         ‘›»±                                                    0:00:20 ‘›»±                                                                    
svchost.exe                   1244 Services                   0      5,096 K Unknown         ‘›»±                                                    0:00:19 ‘›»±                                                                    
svchost.exe                   1288 Services                   0      2,488 K Unknown         ‘›»±                                                    0:00:06 ‘›»±                                                                    
svchost.exe                   1296 Services                   0      2,600 K Unknown         ‘›»±                                                    0:00:00 ‘›»±                                                                    
svchost.exe                   1304 Services                   0      7,232 K Unknown         ‘›»±                                                    0:00:01 ‘›»±                                                                    
svchost.exe                   1316 Services                   0      4,260 K Unknown         ‘›»±                                                    0:00:00 ‘›»±                                                                    
svchost.exe                   1440 Services                   0      5,804 K Unknown         ‘›»±                                                    0:00:01 ‘›»±                                                                    
svchost.exe                   1448 Services                   0      4,792 K Unknown         ‘›»±                                                    0:00:01 ‘›»±                                                                    
svchost.exe                   1584 Services                   0      9,680 K Unknown         ‘›»±                                                    0:00:12 ‘›»±                                                                    
IntelCpHDCPSvc.exe            1640 Services                   0      1,348 K Unknown         ‘›»±                                                    0:00:00 ‘›»±                                                                    
svchost.exe                   1668 Services                   0      7,040 K Unknown         ‘›»±                                                    0:00:27 ‘›»±                                                                    
